OrgID,Org,Training,Leadership,Culture,Resources,Technology,Innovation
Org01,Alpha Corp,0.85,0.9,0.75,0.6,0.8,0.88
Org02,Beta Ltd,0.9,0.85,0.6,0.7,0.75,0.91
Org03,Gamma Inc,0.7,0.65,0.9,0.85,0.8,0.87
Org04,Delta Co,0.6,0.55,0.85,0.92,0.7,0.82
Org05,Epsilon SA,0.88,0.92,0.8,0.75,0.85,0.93
Org06,Zeta Group,0.75,0.8,0.88,0.82,0.78,0.89
Org07,Eta Partners,0.82,0.78,0.7,0.65,0.9,0.84
Org08,Theta Org,0.65,0.7,0.92,0.88,0.72,0.86
Org09,Iota Firm,0.93,0.88,0.6,0.58,0.82,0.9
Org10,Kappa Plc,0.78,0.82,0.84,0.8,0.76,0.88
Org11,Lambda Ltd,0.85,0.88,0.86,0.84,0.8,0.92
Org12,Mu Corp,0.75,0.8,0.5,0.45,0.7,0.68
Org13,Nu Enterprises,0.6,0.58,0.72,0.75,0.65,0.65
Org14,Xi Solutions,0.8,0.75,0.55,0.5,0.6,0.62
Org15,Omicron AG,0.55,0.6,0.78,0.7,0.58,0.64
Org16,Pi Holdings,0.7,0.65,0.65,0.6,0.72,0.6
Org17,Rho Ventures,0.65,0.7,0.6,0.65,0.68,0.58
Org18,Sigma Institute,0.72,0.68,0.62,0.58,0.75,0.56
Org19,Tau Dynamics,0.58,0.62,0.7,0.68,0.62,0.55
Org20,Upsilon GmbH,0.68,0.72,0.58,0.62,0.7,0.52
Org21,Phi Analytics,0.3,0.25,0.4,0.35,0.45,0.22
Org22,Chi Consulting,0.2,0.3,0.25,0.2,0.35,0.18
Org23,Psi Digital,0.4,0.35,0.2,0.25,0.3,0.2
Org24,Omega Systems,0.25,0.2,0.35,0.4,0.28,0.15
Org25,Acme Corp,0.35,0.4,0.3,0.28,0.32,0.25
Org26,Nexus Tech,0.15,0.2,0.4,0.45,0.22,0.18
Org27,Pinnacle Ltd,0.42,0.38,0.22,0.18,0.4,0.2
Org28,Vertex Co,0.28,0.32,0.42,0.38,0.25,0.22
Org29,Apex Group,0.18,0.22,0.32,0.28,0.35,0.12
Org30,Zenith Inc,0.8,0.82,0.4,0.38,0.42,0.38
Org31,Crest Org,0.5,0.52,0.48,0.5,0.55,0.45
Org32,Summit Plc,0.45,0.48,0.52,0.55,0.5,0.5
Org33,Peak Partners,0.55,0.5,0.45,0.48,0.6,0.48
Org34,Ridge Ltd,0.48,0.55,0.5,0.45,0.52,0.42
Org35,Vista Corp,0.52,0.45,0.55,0.52,0.48,0.44
